project,task_id,tier,install_t,end_t,duration_h,end_reason,n_modules,skip_count_at_install,owner_dispatched_during,reserved_mod_h,idle_reserved_mod_h,next_demand_gap_h,n_blocked_topskips_during,modules
reify,164,,2026-04-11T11:00:32.195478+00:00,2026-04-11T11:31:12.245315+00:00,0.5111,lease_expired,5,4,0,2.556,0.511,0.000,0,crates/reify-compiler/src;crates/reify-compiler/tests;crates/reify-eval/src;crates/reify-syntax/src;crates/reify-types/src
reify,164,,2026-04-11T11:31:13.742256+00:00,2026-04-11T16:05:43.703262+00:00,4.5750,lease_expired,5,4,0,22.875,8.538,0.000,0,crates/reify-compiler/src;crates/reify-compiler/tests;crates/reify-eval/src;crates/reify-syntax/src;crates/reify-types/src
reify,164,,2026-04-11T16:05:45.696828+00:00,2026-04-11T16:24:59.846888+00:00,0.3206,used,5,4,0,1.603,0.349,4.919,0,crates/reify-compiler/src;crates/reify-compiler/tests;crates/reify-eval/src;crates/reify-syntax/src;crates/reify-types/src
reify,249,,2026-04-11T21:03:59.956489+00:00,2026-04-12T06:35:30.817118+00:00,9.5252,era_death,3,4,0,28.576,27.734,0.007,20,crates/reify-compiler;crates/reify-expr;crates/reify-types
reify,165,,2026-04-11T21:16:13.934235+00:00,2026-04-12T06:35:30.817118+00:00,9.3214,era_death,3,4,0,27.964,27.557,36.042,0,crates/reify-compiler/tests;crates/reify-eval/tests;examples/m8_option_match.ri
reify,273,,2026-04-12T06:35:57.210338+00:00,2026-04-13T16:41:26.465203+00:00,34.0915,era_death,3,4,0,102.274,0.000,0.164,0,crates/reify-compiler/src;crates/reify-eval/src;crates/reify-types/src
reify,259,,2026-04-13T16:51:19.433141+00:00,2026-04-13T18:05:49.373845+00:00,1.2417,lease_expired,1,4,0,1.242,0.000,0.982,0,crates/reify-eval/src
reify,179,,2026-04-13T18:33:41.533607+00:00,2026-04-13T18:38:01.241457+00:00,0.0721,used,3,4,0,0.216,0.072,0.277,0,crates/reify-compiler/tests;crates/reify-eval/tests;examples/m8_combined.ri
reify,259,,2026-04-13T18:15:49.994672+00:00,2026-04-13T19:04:42.957304+00:00,0.8147,silent_owner_dispatch_then_release,1,4,1,0.815,0.000,0.000,0,crates/reify-eval/src
reify,251,,2026-04-13T18:38:34.398754+00:00,2026-04-13T23:02:23.371827+00:00,4.3969,lease_expired,2,4,1,8.794,0.000,0.045,10,crates/reify-compiler/tests;crates/reify-eval/tests
reify,260,,2026-04-13T18:55:24.141203+00:00,2026-04-13T23:02:23.372931+00:00,4.1165,lease_expired,2,4,0,8.233,4.116,0.984,0,crates/reify-eval/tests;examples/m10_purpose_activation.ri
reify,260,,2026-04-13T23:04:07.545943+00:00,2026-04-13T23:05:04.808508+00:00,0.0159,used,2,4,0,0.032,0.016,0.939,0,crates/reify-eval/tests;examples/m10_purpose_activation.ri
reify,273,,2026-04-13T23:11:16.449290+00:00,2026-04-13T23:18:37.048996+00:00,0.1224,used,3,4,0,0.367,0.000,0.179,0,crates/reify-compiler/src;crates/reify-eval/src;crates/reify-types/src
reify,275,,2026-04-13T23:21:52.357732+00:00,2026-04-14T00:27:24.492613+00:00,1.0923,lease_expired,9,4,0,9.830,2.862,4.637,29,crates/reify-compiler/src;crates/reify-compiler/tests;crates/reify-eval/tests;crates/reify-lsp/src;crates/reify-syntax/src;crates/reify-syntax/tests;crates/reify-test-support/src;crates/reify-types/src;tree-sitter-reify/grammar.js
reify,343,,2026-04-14T00:01:24.646677+00:00,2026-04-14T04:02:46.884700+00:00,4.0228,lease_expired,2,4,0,8.046,0.000,1.273,0,crates/reify-compiler/src;crates/reify-eval/src
reify,273,,2026-04-13T23:48:46.102810+00:00,2026-04-14T04:02:46.886859+00:00,4.2336,lease_expired,7,4,1,29.635,0.632,1.047,16,crates/reify-compiler/src;crates/reify-compiler/tests;crates/reify-eval/src;crates/reify-eval/tests;crates/reify-test-support/src;crates/reify-types/src;crates/reify-types/tests
reify,343,,2026-04-14T04:02:50.884868+00:00,2026-04-14T05:05:36.898718+00:00,1.0461,lease_expired,2,4,0,2.092,0.000,0.226,0,crates/reify-compiler/src;crates/reify-eval/src
reify,262,,2026-04-14T04:25:29.546680+00:00,2026-04-14T05:05:37.273807+00:00,0.6688,used,2,4,0,1.338,0.000,1.191,0,crates/reify-eval/tests;examples/m10_combined.ri
